Łagiewska B@Mayzner-Zawadzka E,2
Mayzner-Zawadzka E@Chmura A,1
Woessner R@Grauer MT,2
Woessner R@Dieterich HJ,2
Woessner R@Bepperling F,1
Woessner R@Baus D,1
Woessner R@Treib J,2
Grauer MT@Dieterich HJ,2
Grauer MT@Bepperling F,1
Grauer MT@Baus D,1
Treib J@Grauer MT,6
Dieterich HJ@Bepperling F,1
Dieterich HJ@Baus D,1
Treib J@Dieterich HJ,2
Bepperling F@Baus D,2
Treib J@Bepperling F,1
Treib J@Baus D,1
Sasanakul W@Chuansumrit A,11
Sasanakul W@Krasaesub S,1
Sirachainan N@Sasanakul W,4
Sasanakul W@Kadegasem P,3
Sasanakul W@Rurgkhum S,3
Krasaesub S@Chuansumrit A,2
Sirachainan N@Chuansumrit A,8
Kadegasem P@Chuansumrit A,3
Rurgkhum S@Chuansumrit A,3
Sirachainan N@Krasaesub S,1
Krasaesub S@Kadegasem P,1
Rurgkhum S@Krasaesub S,1
Sirachainan N@Kadegasem P,3
Sirachainan N@Rurgkhum S,1
Rurgkhum S@Kadegasem P,1
Markland FS@Golubkov V,2
Weiss M@Ma X,1
Herzog RW@Arruda VR,18
Kelly A@Crawford L,1
Kelly A@Greer IA,1
Rumley A@Kelly A,2
Lowe GD@Kelly A,2
Sattar N@Kelly A,2
Greer IA@Crawford L,1
Rumley A@Crawford L,1
Lowe GD@Crawford L,1
Sattar N@Crawford L,1
Rumley A@Greer IA,2
Lowe GD@Greer IA,5
Sattar N@Greer IA,2
Rumley A@Lowe GD,20
Sattar N@Rumley A,4
Sattar N@Lowe GD,5
Pettinato G@Insabato L,2
Mohanty D@Colah RB,2
Mohanty D@Gorakshakar AC,2
Nadkarni AH@Mohanty D,2
Phanasgaonkar SP@Mohanty D,2
Shetty S@Mohanty D,23
Mohanty D@Ghosh K,28
Gorakshakar AC@Colah RB,2
Nadkarni AH@Colah RB,2
Phanasgaonkar SP@Colah RB,2
Shetty S@Colah RB,1
Ghosh K@Colah RB,2
Nadkarni AH@Gorakshakar AC,2
Phanasgaonkar SP@Gorakshakar AC,2
Shetty S@Gorakshakar AC,1
Gorakshakar AC@Ghosh K,2
Phanasgaonkar SP@Nadkarni AH,2
Shetty S@Nadkarni AH,1
Nadkarni AH@Ghosh K,2
Shetty S@Phanasgaonkar SP,1
Phanasgaonkar SP@Ghosh K,2
Shetty S@Ghosh K,47
Osip J@Ashrani AA,2
Christie B@Ashrani AA,1
Key NS@Ashrani AA,3
Osip J@Christie B,1
Osip J@Key NS,2
Key NS@Christie B,2
Pasino M@Acquila M,8
Santoro C@Acquila M,1
Lanza T@Acquila M,8
Molinari AC@Acquila M,7
Bottini F@Acquila M,8
Bicocchi MP@Acquila M,11
Santoro C@Pasino M,1
Pasino M@Lanza T,8
Pasino M@Molinari AC,7
Pasino M@Bottini F,7
Pasino M@Bicocchi MP,8
Santoro C@Lanza T,1
Santoro C@Molinari AC,6
Santoro C@Bottini F,1
Santoro C@Bicocchi MP,1
Molinari AC@Lanza T,7
Lanza T@Bottini F,7
Lanza T@Bicocchi MP,8
Molinari AC@Bottini F,6
Molinari AC@Bicocchi MP,7
Bottini F@Bicocchi MP,9
St Louis J@Rivard GE,3
Rivard GE@Lacroix S,4
Rock G@Rivard GE,1
St Louis J@Lacroix S,3
St Louis J@Rock G,1
Rock G@Lacroix S,1
Zhang L@Li H,9
Zhao H@Zhang L,2
Zhang X@Zhang L,7
Zhang L@Ji L,2
Zhang L@Yang R,15
Zhao H@Li H,1
Zhang X@Li H,3
Li H@Ji L,1
Yang R@Li H,5
Zhao H@Zhang X,1
Zhao H@Ji L,1
Zhao H@Yang R,2
Zhang X@Ji L,1
Zhang X@Yang R,8
Yang R@Ji L,3
Takemura T@Hojo H,1
Takemura T@Nakahara Y,1
Takemura T@Ishimizu T,1
Takemura T@Hase S,1
Nakahara Y@Hojo H,3
Ishimizu T@Hojo H,3
Hojo H@Hase S,3
Nakahara Y@Ishimizu T,3
Nakahara Y@Hase S,3
Ishimizu T@Hase S,3
Weitz JI@Crowther MA,2
Gu W@Brooks MB,2
Brooks MB@Barnas JL,2
Ray J@Brooks MB,2
Ray K@Brooks MB,2
Gu W@Barnas JL,1
Ray J@Gu W,2
Ray K@Gu W,3
Ray J@Barnas JL,2
Ray K@Barnas JL,1
Ray K@Ray J,2
Riske B@Manco-Johnson MJ,2
Manco-Johnson MJ@Kasper CK,1
Riske B@Kasper CK,1
